geom,intersection_lat,intersection_lon,year,st_asgeojson,biccol,pedcol,bickill,pedkill,ambiccol,pmbiccol,ampedcol,pmpedcol,ambickill,pmbickill,ampedkill,pmpedkill,street_names,bicinj,pedinj,ambicinj,pmbicinj,ampedinj,pmpedinj
POINT(-122.478061977 37.7616531577),37.7616531577,-122.478061977,2018,"{""type"":""Point"",""coordinates"":[-122.478061977,37.7616531577]}",0,1,0,0,0,0,0,1,0,0,0,0,"['20TH AVE', 'JUDAH ST']",0,1,0,0,0,1
POINT(-122.478061977 37.7616531577),37.7616531577,-122.478061977,2022,"{""type"":""Point"",""coordinates"":[-122.478061977,37.7616531577]}",1,0,0,0,1,0,0,0,0,0,0,0,"['20TH AVE', 'JUDAH ST']",1,0,1,0,0,0
POINT(-122.47811291 37.7174840976),37.7174840976,-122.47811291,2017,"{""type"":""Point"",""coordinates"":[-122.47811291,37.7174840976]}",0,1,0,0,0,0,1,0,0,0,0,0,"['GRIJALVA DR', 'JUAN BAUTISTA CIR']",0,1,0,0,1,0
POINT(-122.478166163 37.7784569705),37.7784569705,-122.478166163,2019,"{""type"":""Point"",""coordinates"":[-122.478166163,37.7784569705]}",0,1,0,0,0,0,0,1,0,0,0,0,"['19TH AVE', 'ANZA ST']",0,1,0,0,0,1
POINT(-122.478190826 37.7635147582),37.7635147582,-122.478190826,2007,"{""type"":""Point"",""coordinates"":[-122.478190826,37.7635147582]}",1,1,0,0,0,1,0,1,0,0,0,0,"['20TH AVE', 'IRVING ST']",1,1,0,1,0,1
POINT(-122.478190826 37.7635147582),37.7635147582,-122.478190826,2012,"{""type"":""Point"",""coordinates"":[-122.478190826,37.7635147582]}",0,1,0,0,0,0,0,1,0,0,0,0,"['20TH AVE', 'IRVING ST']",0,1,0,0,0,1
POINT(-122.478190826 37.7635147582),37.7635147582,-122.478190826,2013,"{""type"":""Point"",""coordinates"":[-122.478190826,37.7635147582]}",0,1,0,0,0,0,1,0,0,0,0,0,"['20TH AVE', 'IRVING ST']",0,1,0,0,1,0
POINT(-122.478190826 37.7635147582),37.7635147582,-122.478190826,2014,"{""type"":""Point"",""coordinates"":[-122.478190826,37.7635147582]}",0,1,0,0,0,0,0,1,0,0,0,0,"['20TH AVE', 'IRVING ST']",0,1,0,0,0,1
POINT(-122.478190826 37.7635147582),37.7635147582,-122.478190826,2016,"{""type"":""Point"",""coordinates"":[-122.478190826,37.7635147582]}",1,0,0,0,1,0,0,0,0,0,0,0,"['20TH AVE', 'IRVING ST']",1,0,1,0,0,0
POINT(-122.478190826 37.7635147582),37.7635147582,-122.478190826,2017,"{""type"":""Point"",""coordinates"":[-122.478190826,37.7635147582]}",0,1,0,0,0,0,1,0,0,0,0,0,"['20TH AVE', 'IRVING ST']",0,1,0,0,1,0
POINT(-122.478190826 37.7635147582),37.7635147582,-122.478190826,2020,"{""type"":""Point"",""coordinates"":[-122.478190826,37.7635147582]}",0,1,0,0,0,0,1,0,0,0,0,0,"['20TH AVE', 'IRVING ST']",0,1,0,0,1,0
POINT(-122.478190826 37.7635147582),37.7635147582,-122.478190826,2021,"{""type"":""Point"",""coordinates"":[-122.478190826,37.7635147582]}",1,0,0,0,0,1,0,0,0,0,0,0,"['20TH AVE', 'IRVING ST']",1,0,0,1,0,0
POINT(-122.478258962 37.7659166905),37.7659166905,-122.478258962,2006,"{""type"":""Point"",""coordinates"":[-122.478258962,37.7659166905]}",1,0,0,0,1,0,0,0,0,0,0,0,"['MARTIN LUTHER KING JR DR', 'TRANSVERSE DR']",1,0,1,0,0,0
POINT(-122.478258962 37.7659166905),37.7659166905,-122.478258962,2008,"{""type"":""Point"",""coordinates"":[-122.478258962,37.7659166905]}",1,0,0,0,0,1,0,0,0,0,0,0,"['MARTIN LUTHER KING JR DR', 'TRANSVERSE DR']",1,0,0,1,0,0
POINT(-122.478258962 37.7659166905),37.7659166905,-122.478258962,2009,"{""type"":""Point"",""coordinates"":[-122.478258962,37.7659166905]}",1,0,0,0,0,1,0,0,0,0,0,0,"['MARTIN LUTHER KING JR DR', 'TRANSVERSE DR']",1,0,0,1,0,0
POINT(-122.478258962 37.7659166905),37.7659166905,-122.478258962,2017,"{""type"":""Point"",""coordinates"":[-122.478258962,37.7659166905]}",2,0,0,0,1,1,0,0,0,0,0,0,"['MARTIN LUTHER KING JR DR', 'TRANSVERSE DR']",2,0,1,1,0,0
POINT(-122.47830488 37.7803811916),37.7803811916,-122.47830488,2006,"{""type"":""Point"",""coordinates"":[-122.47830488,37.7803811916]}",0,1,0,0,0,0,1,0,0,0,0,0,"['19TH AVE', 'GEARY BLVD']",0,1,0,0,1,0
POINT(-122.47830488 37.7803811916),37.7803811916,-122.47830488,2009,"{""type"":""Point"",""coordinates"":[-122.47830488,37.7803811916]}",0,1,0,0,0,0,0,1,0,0,0,0,"['19TH AVE', 'GEARY BLVD']",0,1,0,0,0,1
POINT(-122.47830488 37.7803811916),37.7803811916,-122.47830488,2010,"{""type"":""Point"",""coordinates"":[-122.47830488,37.7803811916]}",2,0,0,0,1,1,0,0,0,0,0,0,"['19TH AVE', 'GEARY BLVD']",2,0,1,1,0,0
POINT(-122.47830488 37.7803811916),37.7803811916,-122.47830488,2011,"{""type"":""Point"",""coordinates"":[-122.47830488,37.7803811916]}",0,3,0,0,0,0,2,1,0,0,0,0,"['19TH AVE', 'GEARY BLVD']",0,3,0,0,2,1
POINT(-122.47830488 37.7803811916),37.7803811916,-122.47830488,2013,"{""type"":""Point"",""coordinates"":[-122.47830488,37.7803811916]}",0,2,0,0,0,0,0,2,0,0,0,0,"['19TH AVE', 'GEARY BLVD']",0,2,0,0,0,2
POINT(-122.47830488 37.7803811916),37.7803811916,-122.47830488,2015,"{""type"":""Point"",""coordinates"":[-122.47830488,37.7803811916]}",0,1,0,0,0,0,1,0,0,0,0,0,"['19TH AVE', 'GEARY BLVD']",0,1,0,0,1,0
POINT(-122.47830488 37.7803811916),37.7803811916,-122.47830488,2019,"{""type"":""Point"",""coordinates"":[-122.47830488,37.7803811916]}",0,1,0,0,0,0,0,1,0,0,0,0,"['19TH AVE', 'GEARY BLVD']",0,1,0,0,0,1
POINT(-122.47830488 37.7803811916),37.7803811916,-122.47830488,2021,"{""type"":""Point"",""coordinates"":[-122.47830488,37.7803811916]}",0,1,0,0,0,0,0,1,0,0,0,0,"['19TH AVE', 'GEARY BLVD']",0,1,0,0,0,1
POINT(-122.478324821 37.7653991358),37.7653991358,-122.478324821,2007,"{""type"":""Point"",""coordinates"":[-122.478324821,37.7653991358]}",1,1,0,0,0,1,0,1,0,0,0,0,"['20TH AVE', 'LINCOLN WAY']",1,1,0,1,0,1
POINT(-122.478324821 37.7653991358),37.7653991358,-122.478324821,2013,"{""type"":""Point"",""coordinates"":[-122.478324821,37.7653991358]}",0,1,0,0,0,0,0,1,0,0,0,0,"['20TH AVE', 'LINCOLN WAY']",0,1,0,0,0,1
POINT(-122.478324821 37.7653991358),37.7653991358,-122.478324821,2014,"{""type"":""Point"",""coordinates"":[-122.478324821,37.7653991358]}",1,1,0,0,0,1,0,1,0,0,0,0,"['20TH AVE', 'LINCOLN WAY']",1,1,0,1,0,1
POINT(-122.478324821 37.7653991358),37.7653991358,-122.478324821,2019,"{""type"":""Point"",""coordinates"":[-122.478324821,37.7653991358]}",1,0,0,0,0,1,0,0,0,0,0,0,"['20TH AVE', 'LINCOLN WAY']",1,0,0,1,0,0
POINT(-122.478324821 37.7653991358),37.7653991358,-122.478324821,2021,"{""type"":""Point"",""coordinates"":[-122.478324821,37.7653991358]}",1,0,0,0,0,1,0,0,0,0,0,0,"['20TH AVE', 'LINCOLN WAY']",1,0,0,1,0,0
POINT(-122.478431694 37.7159100579),37.7159100579,-122.478431694,2016,"{""type"":""Point"",""coordinates"":[-122.478431694,37.7159100579]}",0,1,0,0,0,0,1,0,0,0,0,0,"['GARCES DR', 'GONZALEZ DR']",0,1,0,0,1,0
POINT(-122.478443507 37.7823083794),37.7823083794,-122.478443507,2008,"{""type"":""Point"",""coordinates"":[-122.478443507,37.7823083794]}",1,0,0,0,0,1,0,0,0,0,0,0,"['19TH AVE', 'CLEMENT ST']",1,0,0,1,0,0
POINT(-122.478443507 37.7823083794),37.7823083794,-122.478443507,2009,"{""type"":""Point"",""coordinates"":[-122.478443507,37.7823083794]}",0,1,0,0,0,0,1,0,0,0,0,0,"['19TH AVE', 'CLEMENT ST']",0,1,0,0,1,0
POINT(-122.478443507 37.7823083794),37.7823083794,-122.478443507,2013,"{""type"":""Point"",""coordinates"":[-122.478443507,37.7823083794]}",0,1,0,0,0,0,0,1,0,0,0,0,"['19TH AVE', 'CLEMENT ST']",0,1,0,0,0,1
POINT(-122.478443507 37.7823083794),37.7823083794,-122.478443507,2019,"{""type"":""Point"",""coordinates"":[-122.478443507,37.7823083794]}",0,1,0,0,0,0,0,1,0,0,0,0,"['19TH AVE', 'CLEMENT ST']",0,1,0,0,0,1
POINT(-122.478443507 37.7823083794),37.7823083794,-122.478443507,2022,"{""type"":""Point"",""coordinates"":[-122.478443507,37.7823083794]}",0,1,0,0,0,0,0,1,0,0,0,0,"['19TH AVE', 'CLEMENT ST']",0,1,0,0,0,1
POINT(-122.478486061 37.7522818734),37.7522818734,-122.478486061,2015,"{""type"":""Point"",""coordinates"":[-122.478486061,37.7522818734]}",1,0,0,0,0,1,0,0,0,0,0,0,"['21ST AVE', 'ORTEGA ST']",1,0,0,1,0,0
POINT(-122.478556028 37.7185385605),37.7185385605,-122.478556028,2017,"{""type"":""Point"",""coordinates"":[-122.478556028,37.7185385605]}",0,1,0,0,0,0,0,1,0,0,0,0,"['FONT BLVD', 'JUAN BAUTISTA CIR']",0,1,0,0,0,1
POINT(-122.478578839 37.7841739868),37.7841739868,-122.478578839,2009,"{""type"":""Point"",""coordinates"":[-122.478578839,37.7841739868]}",1,0,0,0,0,1,0,0,0,0,0,0,"['19TH AVE', 'CALIFORNIA ST']",1,0,0,1,0,0
POINT(-122.478578839 37.7841739868),37.7841739868,-122.478578839,2012,"{""type"":""Point"",""coordinates"":[-122.478578839,37.7841739868]}",0,2,0,0,0,0,2,0,0,0,0,0,"['19TH AVE', 'CALIFORNIA ST']",0,2,0,0,2,0
POINT(-122.478578839 37.7841739868),37.7841739868,-122.478578839,2016,"{""type"":""Point"",""coordinates"":[-122.478578839,37.7841739868]}",0,1,0,0,0,0,0,1,0,0,0,0,"['19TH AVE', 'CALIFORNIA ST']",0,1,0,0,0,1
POINT(-122.478578839 37.7841739868),37.7841739868,-122.478578839,2017,"{""type"":""Point"",""coordinates"":[-122.478578839,37.7841739868]}",0,1,0,0,0,0,1,0,0,0,0,0,"['19TH AVE', 'CALIFORNIA ST']",0,1,0,0,1,0
POINT(-122.478615695 37.7541457667),37.7541457667,-122.478615695,2008,"{""type"":""Point"",""coordinates"":[-122.478615695,37.7541457667]}",0,1,0,0,0,0,0,1,0,0,0,0,"['21ST AVE', 'NORIEGA ST']",0,1,0,0,0,1
POINT(-122.478615695 37.7541457667),37.7541457667,-122.478615695,2011,"{""type"":""Point"",""coordinates"":[-122.478615695,37.7541457667]}",0,1,0,0,0,0,1,0,0,0,0,0,"['21ST AVE', 'NORIEGA ST']",0,1,0,0,1,0
POINT(-122.478615695 37.7541457667),37.7541457667,-122.478615695,2013,"{""type"":""Point"",""coordinates"":[-122.478615695,37.7541457667]}",0,1,0,0,0,0,0,1,0,0,0,0,"['21ST AVE', 'NORIEGA ST']",0,1,0,0,0,1
